time,open,high,low,close,bar_index
1674658800,23.098,23.38,22.69,23.315,591
1674662400,23.314,23.648,23.209,23.532,592
1674666000,23.535,23.59,23.27,23.541,593
1674669600,23.542,23.8,23.484,23.773,594
1674673200,23.774,23.791,23.597,23.731,595
1674676800,23.73,24.27,23.724,24.195,596
1674680400,24.195,25.1,23.71,24.924,597
1674684000,24.925,25.452,24.03,24.206,598
1674687600,24.204,24.715,24.127,24.534,599
1674691200,24.535,24.848,24.429,24.762,600
1674694800,24.761,25.11,24.674,24.777,601
1674698400,24.778,24.894,24.56,24.78,602
1674702000,24.781,25.251,24.757,24.803,603
1674705600,24.803,24.923,24.63,24.761,604
